231TH    235U A DECAY (7.04E+8 Y)      2005GA36,2018MA03,1975VA1122NDS    202210
231TH4cG (1984He12), 10.93 {I15} (1983Ol01), 10.7 {I2} (1983Ba77), 10.9 {I2}
231TH5cG (1982Va04). Other: 13.39 {I6} (2006Al28) is discrepant due to
231TH6cG contribution from other activities
231TH  G 185.713   2  100.0  12 E1                     0.1124 16
231TH2 G %IG=57.2 9$
231THS G  KC=0.0887 13$LC=0.0179 3$MC=0.00433 6
231THS G  NC=0.001142 16$OC=0.000263 4$PC=4.82E-5 7$QC=3.32E-6 5
231TH cG E$weighted average of E|g=185.722 {I4} (1984He12, 185.718 {I10} in
231TH2cG 1974HeYW from the same lab); 185.65 {I5} (1977Ba72); 185.72 {I2}
231TH3cG (1975Va11); 185.712 {I10} (1974Te03); 185.712 {I1} (1987Wh01, (n,|g),
231TH4cG curved-crystal). Other: 185.71 (1983Ba77)
231TH cG RI$weighted average of 100.0 {I12} (2018Ma03), 100.0 {I12} (2017Le03),
231TH2cG 100.0 {I35} (1999Ch12), 100.00 {I35} (1996Ru11), 100.0 {I23}
231TH3cG (1992Li05), 100.0 {I9} (1984He12, 100 {I5} in 1974HeYW), 100.0 {I14}
231TH4cG (1983Ol01), 100.0 {I10} (1983Ba77), 100.0 {I16} (1982Va04). Others: 100
231TH5cG (1977Ba72), 100 (1975Va11), 100.0 (1974Te03)
231TH cG $Measured %I|g=57.2 {I7} (2018Ma03, power moderated mean (PMM) of
231TH2cG 58.3 {I21}, 57.32 {I29}, 57.6 {I21} and 56.6 {I7}), 57.6 {I7}
231TH3cG (2017Le03), 58 {I2} (1999Ch12), 57.2 {I2} (1996Ru11), 56.8 {I13}
231TH4cG (1992Li05), 57.2 {I5} (1984He12), 56.1 {I8} (1983Ol01), 57.3 {I6}
231TH5cG (1983Ba77), 57.5 {I9} (1982Va04). Weighted average of these values is
231TH6cG 57.2 {I6}, with uncertainty increased to 1% in 1983Ol01. Others:
231TH7cG 80.19 {I4} (2006Al28, discrepant due to contribution from other
231TH8cG activities e.g. {+226}Ra decay), 54.9 {I15} (1966Ga03, scintillation
231TH9cG detector)
231TH  L 205.3098  17  (7/2-)
231TH  A 4395.7    7  57.79  36  6.02  6
231TH cA E$unweighted average of 4396.0 keV {i13} (2005Ga36) and
231TH2cA 4395.3 keV {i4} (2004Da24). 1991Ry01 evaluation recommended
231TH3cA 4397.8 {I13}. Others: 4392 {I3} (1975Va11), 4394 {I3} (1966Ga03),
231TH3cA 4370 {I20} (1965Wh05), 4389 {I5} (1964Sc27), 4391 (1962Pi06),
231TH4cA 4394 {I5} (1961Ko11), 4394 {I3} (1960Vo07), 4394 {I4} (1960Ba44),
231TH5cA 4400 (1951Gh22)
231TH cA IA$weighted average of 57.98% {i22} (2005Ga36) and 57.11% {i41}
231TH2cA (2004Da24). Others: 54 {I3} (1975Va11), 53.0 {I13} (1966Ga03),
231TH3cA 49 {I3} (1965Wh05), 57.7 (1964Sc27), 58 (1962Pi06), 74 (1961Ko11),
231TH4cA 84 (1960Vo07), 62 (1960Ba44), 85.6 (1951Gh22)
231TH  G 19.55     5           [M1]                    114.7  19 118      6
231TH2 G %IG=0.583 11$
231THS G  L/T=0.0196 5$M/T=0.723 9
231THS G  N/T=0.193 4$O/T=0.0457 10$P/T=0.00888 20$Q/T=0.000848 19
231THS G  LC=2.26 4$MC=83.7 14
231THS G  NC=22.3 4$OC=5.29 9$PC=1.027 17$QC=0.0982 16
231TH cG E$from 1977Ba72. Other: 19.59 (1975Va11, in coincidence data).
231TH cG TI$from |g-ray transition intensity balance at 185, 205 levels. Other
231TH2cG value of 90% {i6} in 1999Yu01, and I(|g+ce)(19.6)/I(|g+ce)(205)=17.2,
231TH3cG giving relative I(|g+ce)=165, inconsistent with transition intensity
231TH4cG balance of 132 {I3}
231TH  G 109.176   31 2.86   11 [E1]                   0.0932 13
231TH2 G %IG=1.64 7$
231THS G  LC=0.0704 10$MC=0.01709 24
231THS G  NC=0.00450 7$OC=0.001023 15$PC=0.000182 3$QC=1.077E-5 15
231TH cG E$LWM weighted average of 109.25 {I5} (1977Ba72), 109.25 {I5}
231TH2cG (1975Va11), 109.145 {I10} (1974Te03), 109.12 {I5} (1974HeYW). Regular
231TH3cG weighted average is 109.152 {I16}, with reduced |h{+2}=2.86 as compared
231TH4cG to critical |h{+2}=2.6 at 95% confidence level.
231TH5cG Other: 109.17 (1983Ba77)
231TH cG RI$weighted average: 3.18 {I30} (2018Ma03), 2.74 {I15} (2017Le03),
231TH2cG 3.15 {I11} (1996Ru11), 3.82 {I30} (1992Li05), 2.67 {I9} (1983Ba77),
231TH3cG 2.59 {I37} (1975Va11), 3.1 {I3} (1974Te03), 2.77 {I40} (1974HeYW).
231TH4cG Others: 3.82 {I30} (1992Li05) seems high and 1.799 (1977Ba72) seems
231TH5cG low. Including the value from 1992Li05 gives
231TH6cG weighted average of 2.89 {I11}, but with reduced |h{+2}=3.5 compared
231TH7cG to critical |h{+2}=2.0 at 95% confidence level. Other: 1.799 (1977Ba72)
231TH cG $Measured %I|g=1.82 {I17} (2018Ma03, power moderated mean (PMM) of
231TH2cG 1.59 {I7}, 1.84 {I30} and 2.09 {I16}), 1.58 {I8} (2017Le03), 1.80 {I6}
231TH3cG (1996Ru11), 2.17 {I17} (1992Li05), 1.53 {I5} (1983Ba77).
231TH  G 163.357   2  8.87   7 (E1)                    0.1525 22
231TH2 G %IG=5.07 7$
231THS G  KC=0.1197 17$LC=0.0248 4$MC=0.00599 9
231THS G  NC=0.001581 23$OC=0.000364 5$PC=6.61E-5 10$QC=4.40E-6 7
231TH cG E$weighted average of 163.357 {I3} (1984He12, 163.363 {I10} in
231TH2cG 1974HeYW from the same lab); 163.25 {I5} (1977Ba72); 163.36 {I2}
231TH3cG (1975Va11); 163.349 {I9} (1974Te03); 163.358 {I2} (1987Wh01, (n,|g),
231TH4cG curved-crystal). Other: 163.35 (1983Ba77)
231TH cG RI$weighted average of 8.99 {I14} (2018Ma03), 8.57 {I12} (2017Le03),
231TH2cG 8.90 {I9} (1996Ru11), 8.77 {I21} (1992Li05), 8.95 {I7} (1984He12, 8.52
231TH3cG {I55} in 1974HeYW), 9.04 {I14} (1983Ol01), 8.67 {I17} (1983Ba77), 8.70
231TH4cG {I17} (1982Va04), 8.9 {I9} (1975Va11), 8.74 {I90} (1974Te03). Other:
231TH5cG 7.28 (1977Ba72)
231TH cG $Measured %I|g=5.14 {I8} (2018Ma03, power moderated mean (PMM) of
231TH2cG 5.20 {I19}, 5.15 {I13}, 5.13 {I25} and 5.11 {I7}), 4.94 {I7}
231TH3cG (2017Le03), 5.09 {I5} (1996Ru11), 4.98 {I12} (1992Li05), 5.12 {I4}
231TH4cG (1984He12), 5.07 {I8} (1983Ol01), 4.97 {I10} (1983Ba77), 5.0 {I1}
231TH5cG (1982Va04). Other: 6.75 {I3} (2006Al28) is discrepant due to
231TH6cG contribution from other activities
231TH  G 205.311   2  8.80   9 (E1)                    0.0887 13
231TH2 G %IG=5.03 7$
231THS G  KC=0.0703 10$LC=0.01397 20$MC=0.00336 5
231THS G  NC=0.000889 13$OC=0.000205 3$PC=3.77E-5 6$QC=2.66E-6 4
231TH cG E$weighted average of 205.318 {I4} (1984He12, 205.311 {I12} in
231TH2cG 1974HeYW from the same lab); 205.25 {I5} (1977Ba72); 205.31 {I2}
231TH3cG (1975Va11); 205.312 {I10} (1974Te03); 205.309 {I2} (1987Wh01, (n,|g),
231TH4cG curved-crystal). Other: 205.30 (1983Ba77)
231TH cG RI$weighted average of 8.81 {I14} (2018Ma03), 8.88 {I12} (2017Le03),
231TH2cG 8.81 {I9} (1996Ru11), 8.77 {I25} (1992Li05), 8.67 {I9} (1984He12, 9.08
231TH3cG {I55} in 1974HeYW), 8.97 {I16} (1983Ol01), 8.81 {I9} (1983Ba77), 8.70
231TH4cG {I35} (1982Va04), 8.7 {I9} (1975Va11), 8.55 {I70} (1974Te03). Other:
231TH5cG 9.65 (1977Ba72)
231TH cG $Measured %I|g=5.04 {I8} (2018Ma03, power moderated mean (PMM) of
231TH2cG 5.08 {I19}, 5.06 {I12}, 5.08 {I23} and 5.00 {I7}), 5.11 {I7}
231TH3cG (2017Le03), 5.04 {I5} (1996Ru11), 4.98 {I14} (1992Li05), 4.96 {I5}
231TH4cG (1984He12), 5.03 {I9} (1983Ol01), 5.05 {I5} (1983Ba77), 5.0 {I2}
231TH5cG (1982Va04). Other: 7.74 {I4} (2006Al28) is discrepant due to
231TH6cG contribution from other activities
231TH  L 221.392   20  3/2+              74 PS   LE
231TH  A 4377         0.35   19 7.4E2  41                                   b
231TH  G 221.392   20 0.201  11 M1                     1.96   3
231TH2 G %IG=0.115 6$
231THS G  KC=1.566 22$LC=0.296 5$MC=0.0712 10
231THS G  NC=0.0190 3$OC=0.00450 7$PC=0.000872 13$QC=8.28E-5 12
231TH cG E$weighted average of 221.40 {I5} (1977Ba72), 221.38 {I2} (1975Va11),
231TH2cG 221.397 {I25} (1974Te03), 221.375 {I30} (1974HeYW), 221.399 {I1}
231TH3cG (1987Wh01, (n,|g), curved-crystal). Other: 221.40 (1983Ba77)
231TH cG RI$weighted average of 0.192 {I14} (2018Ma03), 0.206 {I34} (2017Le03),
231TH2cG 0.199 {I11} (1983Ba77), 0.204 {I19} (1975Va11), 0.21 {I5} (1974Te03),
231TH3cG 0.22 {I2} (1974HeYW). Other: 0.219 (1977Ba72)
231TH cG $Measured %I|g=0.110 {I8} (2018Ma03, power moderated mean (PMM) of
231TH2cG 0.117 {I5} and 0.101 {I10}), 0.119 {I20} (2017Le03), 0.114 {I6}
231TH3cG (1983Ba77)
231TH  L 236.893    7  9/2-
231TH  A 4364.6    8  18.94  13 10.4   1
231TH cA E$unweighted average of 4364.9 keV {i16} (2005Ga36) and
231TH2cA 4364.3 keV {i4} (2004Da24). 1991Ry01 evaluation recommended
231TH3cA 4366.1 {I20}. Others: 4358 {I4} (1975Va11), 4362 {I5} (1966Ga03),
231TH3cA 4340 {I20} (1965Wh05), 4359 {I5} (1964Sc27), 4361 (1962Pi06),
231TH4cA 4368 (1960Ba44)
231TH cA IA$weighted average of 19.00% {i13} (2005Ga36) and
231TH2cA 18.80% {i20} (2004Da24). Others: 17 {I2} (1975Va11), 12.3 (1966Ga03),
231TH3cA 11.3 {I20} (1965Wh05), 17.3 (1964Sc27), 19 (1962Pi06), 11 (1960Ba44)
231TH  G 31.60     5  0.08   3   [M1]                   110.7 16            D
231TH2 G %IG=0.046 17$
231THS G  LC=83.6  $MC=20.2
231THS G  NC=5.4 $OC=1.27 $PC=0.25$ QC=0.024
231TH cG M$E2 admixture is possible but less likely as it would imply intensity
231TH2cG balance issues at the 236.9 level
231TH cG E$weighted average of 31.60 {I5} (1977Ba72), 31.59 {I14} (1975Va11),
231TH2cG 31.50 {I20} (1974Te03), 31.6 {I1} (1971KrZH)
231TH cG RI$0.08 {I3} from unweighted average of 0.138 {I16} (2018Ma03),
231TH2cG 0.074 {I9} (1975Va11), and 0.03 {I1} (1974Te03). Other: 0.080
231TH3cG (1977Ba72). Note a large difference between different measurements
231TH cG $Measured %I|g=0.079 {I9} (2018Ma03)
231TH  G 51.21     5  0.059  13[E2]                    274    4             D
231TH2 G %IG=0.034 7$
231THS G  LC=201 3$MC=54.9 9
231THS G  NC=14.70 22$OC=3.27 5$PC=0.539 8$QC=0.001465 22
231TH cG E$weighted average of 51.20 {I5} (1977Ba72), 51.7 {I4} (1975Va11),
231TH2cG 51.20 {I10} (1974Te03). Other: 51.2 (1971KrZH)
231TH cG RI$from 1975Va11. Others: 0.019 {I9} (2018Ma03), 0.029 (1977Ba72),
231TH2cG 0.007 {I3} (1974Te03). Value from 1975Va11 is preferred as it gives
231TH3cG a better intensity balance at the 236.9 level
231TH cG $Measured %I|g=0.010 {I5} (2018Ma03)
231TH  G 74.94     4  0.128  23[E1]                     0.252 4             D
231TH2 G %IG=0.073 13$
231THS G  LC=0.190 3$MC=0.0464 7
231THS G  NC=0.01216 18$OC=0.00274 4$PC=0.000471 7$QC=2.46E-5 4
231TH cG E$weighted average of 75.02 {I5} (1975Va11), 74.76 {I20} (1974Te03),
231TH2cG 74.92 {I3} (1974HeYW). Others: 74.56 {I5} (1977Ba72, unresolved
231TH3cG doublet); 74.91 (1983Ba77)
231TH cG RI$0.128 {I23} (2018Ma03). Others: 0.222 {I12} (2017Le03), 0.89 {I9}
231TH2cG (1983Ba77), 0.103 for 74.56+74.25 (1977Ba72), 0.13 (1975Va11),
231TH3cG 0.09 {I1} (1974Te03), 0.25 {I8} (1974HeYW). Values in 2017Le03 and
231TH4cG 1983Ba77 are precise but seem too high.
231TH cG $Measured %I|g=0.073 {I13} (2018Ma03), 0.128 {I7} (2017Le03),
231TH2cG 0.51 {I5} (1983Ba77). Values from 2017Le03 and 1983Ba77 seem too high
231TH  G 140.759   20 0.369  25[E1]                    0.218  3
231TH2 G %IG=0.211 14$
231THS G  KC=0.1696 24$LC=0.0364 5$MC=0.00879 13
231THS G  NC=0.00232 4$OC=0.000531 8$PC=9.58E-5 14$QC=6.13E-6 9
231TH cG E$weighted average of 140.75 {I5} (1977Ba72), 140.80 {I8} (1975Va11),
231TH2cG 140.758 {I20} (1974Te03), 140.75 {I10} (1974HeYW). Other: 140.75
231TH3cG (1983Ba77).
231TH cG RI$unweighted average of 0.392 {I25} (2018Ma03), 0.287 {I22}
231TH2cG (2017Le03), 0.373 {I26} (1983Ba77), 0.39 {I6} (1975Va11), 0.46 {I5}
231TH3cG (1974Te03), 0.31 {I3} (1974HeYW). Weighted average is 0.347 {I23},
231TH4cG but with reduced |h{+2}=3.76 as compared to critical |h{+2}=2.2 at
231TH5cG 95% confidence level. Other: 0.300 (1977Ba72)
231TH cG $Measured %I|g=0.224 {I14} (2018Ma03), 0.165 {I13} (2017Le03),
231TH2cG 0.214 {I15} (1983Ba77)
231TH  G 194.942   7  1.113  23[E1]                    0.1002 14
231TH2 G %IG=0.637 15$
231THS G  KC=0.0792 11$LC=0.01589 23$MC=0.00383 6
231THS G  NC=0.001011 15$OC=0.000233 4$PC=4.28E-5 6$QC=2.98E-6 5
231TH cG E$weighted average of 194.944 {I7} (1984He12, 194.94 {I2} in 1974HeYW,
231TH2cG same lab as 1984He12); 194.95 {I5} (1977Ba72); 194.94 {I2} (1975Va11);
231TH3cG 194.938 {I10} (1974Te03). Other: 194.94 (1983Ba77)
231TH cG RI$weighted average of 1.15 {I7} (2018Ma03), 1.178 {I31} (2017Le03),
231TH2cG 1.066 {I35} (1996Ru11), 1.09 {I9} (1992Li05), 1.093 {I23} (1983Ba77),
231TH3cG 1.09 {I11} (1975Va11), 1.06 {I16} (1974Te03), 1.20 {I10} (1974HeYW).
231TH4cG Other: 1.17 (1977Ba72)
231TH cG $Measured %I|g=0.66 {I4} (2018Ma03, power moderated mean (PMM) of
231TH2cG 0.635 {I24} and 0.71 {I10}), 0.678 {I18} (2017Le03), 0.61 {I2}
231TH3cG (1996Ru11), 0.618 {I48} (1992Li05), 0.626 {I13} (1983Ba77)
231TH  L 240.8785  25  5/2+
231TH  A 4357         0.21   13 8.7E2  54                                   b
231TH  G 198.927   3  0.074  5 M1                      2.64   4
231TH2 G %IG=0.042 3$
231THS G  KC=2.11 3$LC=0.400 6$MC=0.0963 14
231THS G  NC=0.0257 4$OC=0.00608 9$PC=0.001180 17$QC=0.0001119 16
231TH cG E$weighted average of 198.75 {I10} (1977Ba72), 198.88 {I6} (1975Va11),
231TH2cG 198.898 {I15} (1974Te03), 198.91 {I6} (1974HeYW), 198.928 {I2}
231TH3cG (1987Wh01, (n,|g), curved-crystal). Other: 198.93 (1983Ba77)
231TH cG RI$weighted average of 0.077 {I5} (2018Ma03), 0.082 {I11}
231TH2cG (1983Ba77), 0.057 {I9} (1975Va11), 0.08 {I1} (1974Te03), 0.05 {I2}
231TH3cG (1974HeYW). Others: 0.286 {I25} in 2017Le03 seems discrepant; 0.17 for
231TH4cG 198.75+199.6 (1977Ba72)
231TH cG $Measured %I|g=0.044 {I3} (2018Ma03), 0.165 {I14} (2017Le03),
231TH2cG 0.047 {I6} (1983Ba77)
231TH  G 240.876   4  0.119  7 M1(+E2)   0.3     3     1.45   22
231TH2 G %IG=0.068 4$
231THS G  KC=1.14 21$LC=0.228 13$MC=0.0553 21
231THS G  NC=0.0148 6$OC=0.00348 16$PC=0.00067 5$QC=6.1E-5 11
231TH cG E$weighted average of 240.87 {I3} (1975Va11), 240.95 {I4} (1974Te03),
231TH2cG 240.93 {I4} (1974HeYW), 240.875 {I3} (1987Wh01, (n,|g),
231TH3cG curved-crystal). Others: 240.75 {I5} (1977Ba72, seems discrepant,
231TH4cG although agrees within |?2|s). Other: 240.89 (1983Ba77)
231TH cG RI$weighted average of 0.112 {I7} (2018Ma03), 0.133 {I11} (1983Ba77),
231TH2cG 0.11 {I3} (1974Te03), 0.14 {I3} (1974HeYW). Others: 0.175 {I10} in
231TH3cG 2017Le03 is precise but seems discrepant; 0.156 (1977Ba72);
231TH4cG 0.148 (1975Va11)
231TH cG $Measured %I|g=0.064 {I4} (2018Ma03), 0.101 {I5} (2017Le03),
231TH2cG 0.076 {I6} (1983Ba77)
231TH  L 275.423    3  7/2+
231TH  A 4323         0.167  13  58E1  5                                    b
231TH  G 34.7      1  0.065    [M1]                    83.9   14               ?
231TH2 G %IG=0.037 $
231THS G  LC=63.4 11$MC=15.3 3
231THS G  NC=4.08 7$OC=0.966 16$PC=0.188 3$QC=0.0179 3
231TH cG E,RI$from 1977Ba72, tentative placement
231TH  G 54.1      1 0.002   LT [E2]                   210    4                ?
231TH2 G %IG LT 0.0011 $
231THS G  LC=154 3$MC=42.1 7
231THS G  NC=11.27 19$OC=2.51 5$PC=0.413 7$QC=0.001153 19
231TH cG E$from 1977Ba72. Other: 54.1 (1975Va11, in coincidence data, however,
231TH2cG authors placed this |g from 96-keV level)
231TH cG RI$from |g-ray transition intensity balance at 221.4 level. Other:
231TH2cG 0.052 for 54.1+54.25 (1977Ba72)
231TH  G 179.297   2  0.022  5 M1(+E2)   0.25    25    3.4    4             x  S
231TH2 G %IG=0.0126 29$
231THS G  KC=2.7 4$LC=0.540 11$MC=0.131 5
231THS G  NC=0.0350 13$OC=0.00825 24$PC=0.001585 23$QC=0.000142 19
231TH cG E,RI$from (n,|g) (1987Wh01), intensity from I|g(179)/I|g(233)=0.40 {I8}
231TH2cG in (n,|g)
231TH  G 233.470   3  0.058  4 M1                      1.688  24
231TH2 G %IG=0.0332 23$
231THS G  KC=1.350 19$LC=0.255 4$MC=0.0613 9
231THS G  NC=0.01636 23$OC=0.00387 6$PC=0.000752 11$QC=7.13E-5 10
231TH cG E$weighted average of 233.55 {I10} (1977Ba72), 233.50 {I3} (1975Va11),
231TH2cG 233.49 {I3} (1974Te03), 233.53 {I4} (1974HeYW), 233.469 {I3} (1987Wh01,
231TH3cG (n,|g), curved-crystal). Other: 233.50 (1983Ba77)
231TH cG RI$weighted average of 0.056 {I4} (2018Ma03), 0.051 {I9} (1983Ba77),
231TH2cG 0.056 {I37} (1975Va11), 0.06 {I2} (1974Te03), 0.075 {I10} (1974HeYW).
231TH3cG Other: 0.056 (1975Va11)
231TH cG $Measured %I|g=0.032 {I2} (2018Ma03), 0.029 {I5} (1983Ba77)
231TH  G 275.428   4  0.015  4 M1(+E2)   0.25    25     1.02  12
231TH2 G %IG=0.0086 23$
231THS G  KC=0.81 11$LC=0.157 9$MC=0.0379 18
231THS G  NC=0.0101 5$OC=0.00239 13$PC=0.00046 3$QC=4.3E-5 6
231TH cG E$from (n,|g) data in 1987Wh01. Others: for 275 doublet from {+235}U
231TH2cG decay: 275.50 {I5} (1977Ba72), 275.24 {I20} (1975Va11), 275.35 {I15}
231TH3cG (1974Te03), 275.4 {I1} (1971KrZH),
231TH cG RI$from I|g(275.428)/I|g(233.469)=0.25 {I6} in (n,|g) (1987Wh01).
231TH2cG Others for 275|g doublet from {+235}U decay: 0.0559 {I35} (2018Ma03),
231TH3cG 0.164 {I9} (2017Le03), 0.09 {I1} (1974Te03), 0.200 (1977Ba72), 0.056
231TH4cG (1975Va11), |?0.074 (1971KrZH). Total intensity for the 275 doublet
231TH6cG deduced on the basis of branching ratios is 0.056 {I20}, almost in
231TH7cG perfect agreement with values from 2018Ma03, 1975Va11 and 1971KrZH, but
231TH8cG in disagreement with values from 2017Le03 and 1977Ba72
231TH cG $Measured %I|g=0.032 {I2} (2018Ma03), 0.094 {I5} (2017Le03) for 275|g
231TH2cG doublet
231TH  L 277.60     8 (11/2-)
231TH  A 4323.2    10 3.58   20  26    2
231TH cA E$unweighted average of 4323.5 keV {i20} (2005Ga36) and 4322.9 keV {i6}
231TH2cA (2004Da24). Others: 4322 {I4} (1975Va11), 4319 {I3} (1966Ga03),
231TH3cA 4300 {I20} (1965Wh05), 4318 {I5} (1964Sc27), 4320 (1962Pi06),
231TH4cA 4320 (1960Ba44)
231TH cA IA$unweighted average of 3.37% {i6} (2005Ga36) and
231TH2cA 3.78% {i8} (2004Da24). Others: 4.7 {I5} (1975Va11), 3.5 (1966Ga03),
231TH3cA 4.6 {I8} (1965Wh05), 4.2 (1964Sc27), 2.9 (1962Pi06), 3 (1960Ba44)
231TH cA IA$measured group intensity to 275-, 278-keV levels: I|a=4.6 {i5}
231TH cA $I(|g+ce) balance at the 277.6 level shows a much larger feeding
231TH2cA of |?16% as compared to expected feeding of 3.58 {I20} from
231TH3cA I|a(4323|a). Either there are missing |g-rays feeding this level
231TH4cA or the measured I|a value is too low.
231TH  G 41.1                  [M1]                    51.0   7
231THS G  LC=38.5 6$MC=9.28 13
231THS G  NC=2.48 4$OC=0.586 9$PC=0.1138 16$QC=0.01086 16
231TH cG E$from coincidence data in 1975Va11.
231TH cG RI$intensity balance issues at 277.6 level do not permit estimating
231TH2cG intensity of 41.1-keV |g ray. It is probably a weak |g transition
231TH cG CC$for assumed uncertainty of 0.2 keV
231TH  G 72.7      2 0.54    6  [E2]                   50.8   10
231TH2 G %IG=0.309 34$
231THS G  LC=37.1 8$MC=10.20 20
231THS G  NC=2.73 6$OC=0.608 12$PC=0.1005 20$QC=0.000333 6
231TH cG E$from coincidence data in 1975Va11. Others: 72.74 (1983Ba77)
231TH cG RI$unweighted average of 0.481 {I32} (2018Ma03), 0.591 {I32}
231TH2cG (2017Le03). Others: 0.89 {I9} (1983Ba77, seems too large);
231TH3cG 0.20 (1975Va11, seems too low). Weighted average is the same, but
231TH4cG reduced |h{+2}=5.9 is high. Note that, based on intensity balance
231TH5cG at the 277.6 level, assuming negligible intensity for 41.1 transition,
231TH6cG the measured photon intensity is much too large by a factor of |?4
231TH7cG with the expected relative intensity of 0.14.
231TH cG $Measured %I|g=0.275 {I18} (2018Ma03), 0.341 {I18} (2017Le03),
231TH2cG 0.51 {I5} (1983Ba77).
231TH  G 115.45    5  0.0442 5 [E1]                    0.348  5
231TH2 G %IG=0.0253 4$
231THS G  KC=0.267 4$LC=0.0609 9$MC=0.01475 21
231THS G  NC=0.00388 6$OC=0.000885 13$PC=0.0001577 23$QC=9.52E-6 14
231TH cG E$weighted average of 115.45 {I5} (1977Ba72), 115.5 {I2} (1975Va11),
231TH2cG 115.2 {I5} (1974HeYW)
231TH cG RI$weighted average of 0.0442 {I5} (2017Le03), 0.057 {I20} (1975Va11).
231TH2cG Others: 0.21 {I5} (1974HeYW, seems too high), 0.030 (1977Ba72)
231TH cG $Measured %I|g=0.0255 {I3} (2017Le03)
231TH  G 182.1                                                                 ?
231TH cG E$tentative |g, probably very weak, from coincidence data (1975Va11)
231TH  L 301.70    10  5/2+                                                    ?
231TH  A 4296         0.0091511 6.6E3  1                                    b  ?
231TH cA $E|a=|?4295 (tentative) value with no I|a (1975Va11)
231TH  G 301.7     1  0.0093   M1                      0.829  12               ?
231TH2 G %IG=0.0053 $
231THS G  KC=0.664 10$LC=0.1249 18$MC=0.0300 5
231THS G  NC=0.00800 12$OC=0.00189 3$PC=0.000368 6$QC=3.49E-5 5
231TH cG E,RI$from 1975Va11, |g unplaced. This |g may correspond to
231TH2cG 301.741 {I3} in (n,|g) (1987Wh01)
231TH  L 317.0790  24  5/2+
231TH  A 4282.6    28 0.11   4  4.1E2  15
231TH cA E$unweighted average of 4283.2 keV {i27} (2005Ga36) and 4282 keV {i5}
231TH2cA (2004Da24). Others: 4282 (1975Va11, tentative), 4289 {I10} (1966Ga03)
231TH cA IA$weighted average of 0.066% {I13} (2005Ga36) and
231TH2cA 0.14% {i1} (2004Da24). Others: <0.5 (1966Ga03)
231TH  G 76.198    4 0.0081     [M1+E2]                 24    17            x  S
231TH2 G %IG=0.0046 $
231THS G  LC=18 12$MC=4.8 34
231THS G  NC=1.29 89$OC=0.29 20$PC=0.050 31$QC=1.02E-3 75
231TH cG E,RI$from (n,|g) (1987Wh01), intensity from I|g(76.198)/I|g(317.063)
231TH2cG in (n,|g)
231TH  G 95.7
231TH cG E$from coincidence data in 1975Va11; not seen in (n,|g) (1987Wh01)
231TH  G 275.129   2  0.041  14 M1+E2    0.6     1     0.84   6
231TH2 G %IG=0.023 8$
231THS G  KC=0.65 5$LC=0.145 5$MC=0.0355 10
231THS G  NC=0.00949 25$OC=0.00223 7$PC=0.000422 15$QC=3.5E-5 3
231TH cG E$from (n,|g) data in 1987Wh01. Others: for 275 doublet from {+235}U
231TH2cG decay: 275.50 {I5} (1977Ba72), 275.24 {I20} (1975Va11), 275.35 {I15}
231TH3cG (1974Te03), 275.4 {I1} (1971KrZH),
231TH cG RI$from I|g(275.129)/I|g(317.062)=21.7 {I54} in (n,|g) (1987Wh01).
231TH2cG uncertainty of 25% is assumed in I|g for 317.1|g by the evaluators.
231TH3cG Others for 275|g doublet from {+235}U decay: 0.0559 {I35} (2018Ma03),
231TH4cG 0.164 {I9} (2017Le03), 0.09 {I1} (1974Te03), 0.200 (1977Ba72), 0.056
231TH5cG (1975Va11), |?0.074 (1971KrZH). Total intensity for the 275 doublet
231TH6cG deduced on the basis of branching ratios is 0.056 {I20}, almost in
231TH8cG perfect agreement with values from 2018Ma03, 1975Va11 and 1971KrZH, but
231TH9cG in disagreement with values from 2017Le03 and 1977Ba72
231TH cG $Measured %I|g=0.032 {I2} (2018Ma03), 0.094 {I5} (2017Le03) for 275|g
231TH2cG doublet
231TH  G 317.063   12 0.0019   M1                      0.723  10
231TH2 G %IG=0.0011 $
231THS G  KC=0.579 9$LC=0.1089 16$MC=0.0261 4
231THS G  NC=0.00697 10$OC=0.001651 24$PC=0.000320 5$QC=3.04E-5 5
231TH cG E$weighted average of 317.10 {I8} (1975Va11), and 317.062 {I12}
231TH2cG (1987Wh01, (n,|g), curved-crystal spectrometer)
231TH cG RI$from 1975Va11.
231TH  L 324.911    7 (9/2)+
231TH  A 4273        0.033   4 1.2E3   2                                    b
231TH  G 228.785   6  0.0121 18 M1                     1.79   3
231TH2 G %IG=0.0069 10$
231THS G  KC=1.429 20$LC=0.270 4$MC=0.0649 9
231THS G  NC=0.01731 25$OC=0.00410 6$PC=0.000796 12$QC=7.55E-5 11
231TH cG E$weighted average of 228.7 {I1} (1977Ba72), 228.78 {I5} (1975Va11),
231TH2cG 228.8 {I1} (1974HeYW), 228.785 {I6} (1987Wh01, (n,|g), curved-crystal)
231TH cG RI$weighted average of 0.0117 {I18} (2018Ma03) and 0.015 {I5}
231TH2cG (1974HeYW). Others: 0.002 (1977Ba72), 0.013 (1975Va11)
231TH cG $Measured %I|g=0.0067 {I10} (2018Ma03)
231TH  G 282.92    5  0.0079 23[M1+E2]                 0.60   40
231TH2 G %IG=0.0045 13$
231THS G  KC=0.44 36$LC=0.119 31$MC=0.030 6
